quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	event	timesig	staff	voice	duration	scalar	volta	chord_id	Beam	Chord/Lyrics/family	Chord/Lyrics/no	Chord/Lyrics/offset	Chord/Lyrics/offset:x	Chord/Lyrics/offset:y	Chord/Lyrics/syllabic	Chord/Lyrics/text	Chord/Lyrics/text/font	Chord/Lyrics/text/font:face	Chord/Lyrics/ticks	Chord/Lyrics/ticks_f	Chord/Spanner/Slur	Chord/Spanner/Slur/SlurSegment/o1	Chord/Spanner/Slur/SlurSegment/o1:x	Chord/Spanner/Slur/SlurSegment/o1:y	Chord/Spanner/Slur/SlurSegment/o2	Chord/Spanner/Slur/SlurSegment/o2:x	Chord/Spanner/Slur/SlurSegment/o2:y	Chord/Spanner/Slur/SlurSegment/o3	Chord/Spanner/Slur/SlurSegment/o3:x	Chord/Spanner/Slur/SlurSegment/o3:y	Chord/Spanner/Slur/SlurSegment/o4	Chord/Spanner/Slur/SlurSegment/o4:x	Chord/Spanner/Slur/SlurSegment/o4:y	Chord/Spanner/Slur/SlurSegment:no	Chord/Spanner/next/location/fractions	Chord/Spanner/prev/location/fractions	Chord/Spanner:type	Chord/dots	Chord/durationType	Chord/small	Clef/concertClefType	Clef/transposingClefType	Harmony/base	Harmony/extension	Harmony/name	Harmony/offset	Harmony/offset:x	Harmony/offset:y	Harmony/root	Rest/dots	Rest/duration	Rest/durationType	Rest/offset	Rest/offset:x	Rest/offset:y	Rest/small	Rest/visible	Spanner/HairPin/Segment/off2	Spanner/HairPin/Segment/off2:x	Spanner/HairPin/Segment/off2:y	Spanner/HairPin/Segment/offset	Spanner/HairPin/Segment/offset:x	Spanner/HairPin/Segment/offset:y	Spanner/HairPin/Segment/subtype	Spanner/HairPin/subtype	Spanner/next/location/fractions	Spanner/next/location/measures	Spanner/prev/location/fractions	Spanner/prev/location/measures	Spanner:type	Symbol/name	Symbol/offset	Symbol/offset:x	Symbol/offset:y	location/fractions
131/4	0.25	7	7	11/16	11/16	Chord	4/4	1	1	1/16	1		78		FreeSerif	1	/	0	0	begin	Ma	/	Times New Roman																					16th																																				
33	0.0	7	7	3/4	3/4	Beam	4/4	1	1	0				∅																																																																		
33	0.25	7	7	3/4	3/4	Chord	4/4	1	1	1/16	1		79		FreeSerif	1	/	0	0	end	rie	/	Times New Roman	120	1/16																			16th																																				
133/4	0.0	7	7	13/16	13/16	Harmony	4/4	1	1	0																																							64	7	/	0	0	18																										
133/4	0.25	7	7	13/16	13/16	Chord	4/4	1	1	1/16	1		80																															16th																																				
67/2	0.25	7	7	7/8	7/8	Chord	4/4	1	1	1/16	1		81		FreeSerif	1				begin	par	/	Times New Roman																					16th																																				
135/4	0.25	7	7	15/16	15/16	Chord	4/4	1	1	1/16	1		82		FreeSerif	1				end	don	/	Times New Roman	120	1/16	∅														1/16		Slur		16th																																				
34	0.25	7	7	1	1	Chord	4/4	1	1	1/16	1		83																												-1/16	Slur		16th																																				
137/4	0.25	7	7	17/16	17/16	Chord	4/4	1	1	1/16	1		84		FreeSerif	1				begin	ne	/	Times New Roman																					16th																																				
69/2	0.5	7	7	9/8	9/8	Rest	4/4	1	1	1/8	1																																														eighth	/	5.15967	2	1	0																		
35	0.0	8	8	0	0	Harmony	4/4	1	1	0																																						17	1					16																										
35	0.0	8	8	0	0	Spanner	4/4	1	1	0																																																															3/8	-1	HairPin					
35	0.0	8	8	0	0	Spanner	4/4	1	1	0																																																					/	-45.5971	0	/	0	86.3239	0	1		1			HairPin					
35	1.0	8	8	0	0	Chord	4/4	1	1	1/4	1		85		FreeSerif	1				end	moi	/	Times New Roman	480	1/4	∅														1/4		Slur		quarter																																				
36	0.0	8	8	1/4	1/4	Beam	4/4	1	1	0				∅																																																																		
36	0.25	8	8	1/4	1/4	Chord	4/4	1	1	1/16	1		86																												-1/4	Slur		16th																																				
